item,api_id,check item
Blue wizard hat (g),7394,blue wizard hat (g)
Blue wizard hat (t),7396,blue wizard hat (t)
Blue wizard robe,577,blue wizard robe
Blue wizard robe (g),7390,blue wizard robe (g)
Blue wizard robe (t),7392,blue wizard robe (t)
Bluegill,22826,bluegill
Blurberry special,2064,blurberry special
Bob's black shirt,10322,bob's black shirt
Bob's blue shirt,10318,bob's blue shirt
Bob's green shirt,10320,bob's green shirt
Bob's purple shirt,10324,bob's purple shirt
Bob's red shirt,10316,bob's red shirt
Body rune,559,body rune
Body talisman,1446,body talisman
Body tiara,5533,body tiara
Bolt mould,9434,bolt mould
Bolt of cloth,8790,bolt of cloth
Bolt rack,4740,bolt rack
Bone bolts,8882,bone bolts
Bone club,5018,bone club
Bone dagger,8872,bone dagger
Bone dagger (p),8874,bone dagger (p)
Bone dagger (p+),8876,bone dagger (p+)
Bone dagger (p++),8878,bone dagger (p++)
Bone fragments,25139,bone fragments
Bone spear,5016,bone spear
Bones,526,bones
Bones to bananas (tablet),8014,bones to bananas (tablet)
Bones to peaches (tablet),8015,bones to peaches (tablet)
Book of balance page set,13153,book of balance page set
Book of darkness page set,13159,book of darkness page set
Book of law page set,13157,book of law page set
Book of war page set,13155,book of war page set
Bookcase (flatpack),8510,bookcase (flatpack)
Boots of brimstone,22951,boots of brimstone
Boots of darkness,20140,boots of darkness
Boots of stone,23037,boots of stone
Botanical pie,19662,botanical pie
Bottle of wine,7919,bottle of wine
Bottled dragonbreath,23002,bottled dragonbreath
Bottled dragonbreath (unpowered),22999,bottled dragonbreath (unpowered)
Bottomless compost bucket,22994,bottomless compost bucket
Bow of faerdhinen (inactive),25862,bow of faerdhinen (inactive)
Bow string,1777,bow string
Bowl,1923,bowl
Bowl of hot water,4456,bowl of hot water
Bowl of water,1921,bowl of water
Bowl wig,20110,bowl wig
Box trap,10008,box trap
Bracelet mould,11065,bracelet mould
Bracelet of clay,11074,bracelet of clay
Bracelet of ethereum (uncharged),21817,bracelet of ethereum (uncharged)
Bracelet of slaughter,21183,bracelet of slaughter
Brandy,2021,brandy
Brass key,983,brass key
Brass necklace,1009,brass necklace
Bread,2309,bread
Bread dough,2307,bread dough
Briefcase,12335,briefcase
Brimstone ring,22975,brimstone ring
Brine sabre,11037,brine sabre
Broad arrowheads,11874,broad arrowheads
Broad bolts,11875,broad bolts
Broken bark snelm,3335,broken bark snelm
Broken dragon hasta,22963,broken dragon hasta
Broken zombie axe,28813,broken zombie axe
Bronze 2h sword,1307,bronze 2h sword
Bronze arrow,882,bronze arrow
Bronze arrow(p),883,bronze arrow(p)
Bronze arrow(p+),5616,bronze arrow(p+)
Bronze arrow(p++),5622,bronze arrow(p++)
Bronze arrowtips,39,bronze arrowtips
Bronze axe,1351,bronze axe
Bronze bar,2349,bronze bar
Bronze battleaxe,1375,bronze battleaxe
Bronze bolts,877,bronze bolts
Bronze bolts (p),878,bronze bolts (p)
Bronze bolts (p+),6061,bronze bolts (p+)
Bronze bolts (p++),6062,bronze bolts (p++)
Bronze bolts (unf),9375,bronze bolts (unf)
Bronze boots,4119,bronze boots
Bronze brutal,4773,bronze brutal
Bronze chainbody,1103,bronze chainbody
Bronze claws,3095,bronze claws
Bronze crossbow,9174,bronze crossbow
Bronze crossbow (u),9454,bronze crossbow (u)
Bronze dagger,1205,bronze dagger
Bronze dagger(p),1221,bronze dagger(p)
Bronze dagger(p+),5670,bronze dagger(p+)
Bronze dagger(p++),5688,bronze dagger(p++)
Bronze dart,806,bronze dart
Bronze dart tip,819,bronze dart tip
Bronze dart(p),812,bronze dart(p)
Bronze dart(p+),5628,bronze dart(p+)
Bronze dart(p++),5635,bronze dart(p++)
Bronze dragon mask,12363,bronze dragon mask
Bronze felling axe,28196,bronze felling axe
Bronze full helm,1155,bronze full helm
Bronze full helm (g),12211,bronze full helm (g)
Bronze full helm (t),12221,bronze full helm (t)
Bronze gold-trimmed set (lg),12968,bronze gold-trimmed set (lg)
Bronze gold-trimmed set (sk),12970,bronze gold-trimmed set (sk)
Bronze halberd,3190,bronze halberd
Bronze hasta,11367,bronze hasta
Bronze hasta(p),11379,bronze hasta(p)
Bronze hasta(p+),11382,bronze hasta(p+)
Bronze hasta(p++),11384,bronze hasta(p++)
Bronze javelin,825,bronze javelin
Bronze javelin heads,19570,bronze javelin heads
Bronze javelin(p),831,bronze javelin(p)
Bronze javelin(p+),5642,bronze javelin(p+)
Bronze javelin(p++),5648,bronze javelin(p++)
Bronze kiteshield,1189,bronze kiteshield
Bronze kiteshield (g),12213,bronze kiteshield (g)
Bronze kiteshield (t),12223,bronze kiteshield (t)
Bronze knife,864,bronze knife
Bronze knife(p),870,bronze knife(p)
Bronze knife(p+),5654,bronze knife(p+)
Bronze knife(p++),5661,bronze knife(p++)
Bronze limbs,9420,bronze limbs
Bronze locks,25442,bronze locks
Bronze longsword,1291,bronze longsword
Bronze mace,1422,bronze mace
Bronze med helm,1139,bronze med helm
Bronze nails,4819,bronze nails
Bronze pickaxe,1265,bronze pickaxe
Bronze platebody,1117,bronze platebody
Bronze platebody (g),12205,bronze platebody (g)
Bronze platebody (t),12215,bronze platebody (t)
Bronze platelegs,1075,bronze platelegs
Bronze platelegs (g),12207,bronze platelegs (g)
Bronze platelegs (t),12217,bronze platelegs (t)
Bronze plateskirt,1087,bronze plateskirt
Bronze plateskirt (g),12209,bronze plateskirt (g)
Bronze plateskirt (t),12219,bronze plateskirt (t)
Bronze scimitar,1321,bronze scimitar
Bronze set (lg),12960,bronze set (lg)
Bronze set (sk),12962,bronze set (sk)
Bronze spear,1237,bronze spear
Bronze spear(p),1251,bronze spear(p)
Bronze spear(p+),5704,bronze spear(p+)
Bronze spear(p++),5718,bronze spear(p++)
Bronze sq shield,1173,bronze sq shield
Bronze sword,1277,bronze sword
Bronze thrownaxe,800,bronze thrownaxe
Bronze trimmed set (lg),12964,bronze trimmed set (lg)
Bronze trimmed set (sk),12966,bronze trimmed set (sk)
Bronze warhammer,1337,bronze warhammer
Bronze wire,1794,bronze wire
Broodoo shield (10) (combat),6259,broodoo shield (10) (combat)
Broodoo shield (10) (disease),6237,broodoo shield (10) (disease)
Broodoo shield (10) (poison),6215,broodoo shield (10) (poison)
Broodoo shield (combat),6279,broodoo shield (combat)
Broodoo shield (disease),6257,broodoo shield (disease)
Broodoo shield (poison),6235,broodoo shield (poison)
Brown apron,1757,brown apron
Brown headband,2649,brown headband
Brown toy horsey,2520,brown toy horsey
Bruise blue snelm (pointed),3343,bruise blue snelm (pointed)
Bruise blue snelm (round),3333,bruise blue snelm (round)
Bryophyta's essence,22372,bryophyta's essence
Bryophyta's staff (uncharged),22368,bryophyta's staff (uncharged)
Bucket,1925,bucket
Bucket helm,19991,bucket helm
Bucket helm (g),20059,bucket helm (g)
Bucket of milk,1927,bucket of milk
Bucket of sand,1783,bucket of sand
Bucket of sap,4687,bucket of sap
Bucket of water,1929,bucket of water
Bucket of wax,30,bucket of wax
Bullseye lantern,4548,bullseye lantern
Bullseye lantern (empty),4546,bullseye lantern (empty)
Bullseye lantern (unf),4544,bullseye lantern (unf)
Burning amulet(5),21166,burning amulet(5)
Burnt bones,528,burnt bones
Burnt page,20718,burnt page
Butterfly jar,10012,butterfly jar
Butterfly net,10010,butterfly net
Cabbage,1965,cabbage
Cabbage round shield,20272,cabbage round shield
Cabbage seed,5324,cabbage seed
Cabbages(10),5478,cabbages(10)
Cactus seed,5280,cactus seed
Cactus spine,6016,cactus spine
Cadantine,265,cadantine
Cadantine blood potion (unf),22443,cadantine blood potion (unf)
Cadantine potion (unf),107,cadantine potion (unf)
Cadantine seed,5301,cadantine seed
Cadava berries,753,cadava berries
Cadavaberry seed,5102,cadavaberry seed
Cake,1891,cake
Cake tin,1887,cake tin
Calcified moth,29090,calcified moth
Calcite,21543,calcite
Calquat fruit,5980,calquat fruit
Calquat keg,5769,calquat keg
Calquat sapling,5503,calquat sapling
Calquat tree seed,5290,calquat tree seed
Camelot teleport (tablet),8010,camelot teleport (tablet)
Candle,36,candle
Candle lantern (black),4532,candle lantern (black)
Candle lantern (white),4529,candle lantern (white)
Cannon barrels,10,cannon barrels
Cannon base,6,cannon base
Cannon furnace,12,cannon furnace
Cannon stand,8,cannon stand
Cannonball,2,cannonball
Cape of skulls,23351,cape of skulls
Carrallanger teleport (tablet),12776,carrallanger teleport (tablet)
Carved oak bench (flatpack),8566,carved oak bench (flatpack)
Carved oak magic wardrobe (flatpack),9853,carved oak magic wardrobe (flatpack)
Carved oak table (flatpack),8552,carved oak table (flatpack)
Carved teak bench (flatpack),8570,carved teak bench (flatpack)
Carved teak magic wardrobe (flatpack),9855,carved teak magic wardrobe (flatpack)
Carved teak table (flatpack),8556,carved teak table (flatpack)
Casket,405,casket
Castle wars bracelet(3),11079,castle wars bracelet(3)
Cat mask,12361,cat mask
Catalytic talisman,26798,catalytic talisman
Catalytic tiara,26801,catalytic tiara
Catherby teleport (tablet),24961,catherby teleport (tablet)
Cavalier mask,11280,cavalier mask
Cave eel,5003,cave eel
Cave goblin wire,10981,cave goblin wire
Caviar,11326,caviar
Celastrus bark,22935,celastrus bark
Celastrus sapling,22856,celastrus sapling
Celastrus seed,22869,celastrus seed
Cemetery teleport (tablet),19627,cemetery teleport (tablet)
Chaos rune,562,chaos rune
Chaos talisman,1452,chaos talisman
Chaos tiara,5543,chaos tiara
Charcoal,973,charcoal
Charge dragonstone jewellery scroll,20238,charge dragonstone jewellery scroll
Cheese,1985,cheese
Cheese+tom batta,2259,cheese+tom batta
Chef's delight,5755,chef's delight
Chef's delight (flatpack),8526,chef's delight (flatpack)
Chef's delight(4),5833,chef's delight(4)
Chef's delight(m),5757,chef's delight(m)
Chef's delight(m4),5913,chef's delight(m4)
Chef's hat,1949,chef's hat
Chilli con carne,7062,chilli con carne
Chilli potato,7054,chilli potato
Chinchompa,10033,chinchompa
Chisel,1755,chisel
Choc saturday,2074,choc saturday
Choc-ice,6794,choc-ice
Chocchip crunchies,2209,chocchip crunchies
Chocolate bar,1973,chocolate bar
Chocolate bomb,2185,chocolate bomb
Chocolate cake,1897,chocolate cake
Chocolate dust,1975,chocolate dust
Chopped garlic,7074,chopped garlic
Chopped onion,1871,chopped onion
Chopped tomato,1869,chopped tomato
Chopped tuna,7086,chopped tuna
Chopped ugthanki,1873,chopped ugthanki
Christmas cracker,962,christmas cracker
Chromium ingot,28276,chromium ingot
Cider,5763,cider
Cider barrel (flatpack),8518,cider barrel (flatpack)
Cider(4),5849,cider(4)
Cider(m4),5929,cider(m4)
Circular hide,6169,circular hide
Citizen shoes,9644,citizen shoes
Citizen top,9640,citizen top
Citizen trousers,9642,citizen trousers
Civitas illa fortis teleport,28824,civitas illa fortis teleport
Claws of callisto,27667,claws of callisto
Clay,434,clay
Cleaning cloth,3188,cleaning cloth
Cleaver,7451,cleaver
Climbing boots,3105,climbing boots
Climbing boots (g),23413,climbing boots (g)
Clockwork,8792,clockwork
Clothes pouch,28163,clothes pouch
Clothes pouch blueprint,28166,clothes pouch blueprint
Clue box,12789,clue box
Coal,453,coal
Cocktail glass,2026,cocktail glass
Cocktail guide,2023,cocktail guide
Cocktail shaker,2025,cocktail shaker
Coconut,5974,coconut
Coconut milk,5935,coconut milk
Cod,339,cod
Coif,1169,coif
Combat bracelet,11126,combat bracelet
Combat bracelet(4),11118,combat bracelet(4)
Combat bracelet(6),11972,combat bracelet(6)
Combat mix(1),11447,combat mix(1)
Combat mix(2),11445,combat mix(2)
Combat potion set,13064,combat potion set
Combat potion(1),9745,combat potion(1)
Combat potion(2),9743,combat potion(2)
Combat potion(3),9741,combat potion(3)
Combat potion(4),9739,combat potion(4)
Common kebbit fur,10121,common kebbit fur
Common tench,22829,common tench
Comp ogre bow,4827,comp ogre bow
Compost,6032,compost
Compost potion(1),6476,compost potion(1)
Compost potion(2),6474,compost potion(2)
Compost potion(3),6472,compost potion(3)
Compost potion(4),6470,compost potion(4)
Condensed gold,26266,condensed gold
Cooked barb-tailed kebbit,29131,cooked barb-tailed kebbit
Cooked chicken,2140,cooked chicken
Cooked chompy,2878,cooked chompy
Cooked chompy (roasted),7228,cooked chompy (roasted)
Cooked crab meat,7521,cooked crab meat
Cooked dashing kebbit,29134,cooked dashing kebbit
Cooked graahk,29149,cooked graahk
Cooked jubbly,7568,cooked jubbly
Cooked karambwan,3144,cooked karambwan
Cooked kyatt,29152,cooked kyatt
Cooked larupia,29146,cooked larupia
Cooked meat,2142,cooked meat
Cooked moonlight antelope,29143,cooked moonlight antelope
Cooked mystery meat,24785,cooked mystery meat
Cooked oomlie wrap,2343,cooked oomlie wrap
Cooked pyre fox,29137,cooked pyre fox
Cooked rabbit,3228,cooked rabbit
Cooked slimy eel,3381,cooked slimy eel
Cooked sunlight antelope,29140,cooked sunlight antelope
Cooked sweetcorn,5988,cooked sweetcorn
Cooked wild kebbit,29128,cooked wild kebbit
Cooking apple,1955,cooking apple
Copper ore,436,copper ore
Cornflour,7466,cornflour
Corrupted armadyl godsword,28537,corrupted armadyl godsword
Corrupted dragon claws,28534,corrupted dragon claws
Corrupted scythe of vitur (uncharged),28545,corrupted scythe of vitur (uncharged)
Corrupted tumeken's shadow (uncharged),28549,corrupted tumeken's shadow (uncharged)
Corrupted twisted bow,28540,corrupted twisted bow
Corrupted voidwaker,28531,corrupted voidwaker
Cosmic rune,564,cosmic rune
Cosmic talisman,1454,cosmic talisman
Cosmic tiara,5539,cosmic tiara
Cowhide,1739,cowhide
Craw's bow (u),22547,craw's bow (u)
Cream boots,632,cream boots
Cream hat,662,cream hat
Cream robe bottoms,652,cream robe bottoms
Cream robe top,642,cream robe top
Crier bell,20243,crier bell
Crier coat,20240,crier coat
Crier hat,12319,crier hat
Crossbow,837,crossbow
Crossbow string,9438,crossbow string
Crude chair (flatpack),8496,crude chair (flatpack)
Crunchy tray,2165,crunchy tray
Crushed nest,6693,crushed nest
Crushed superior dragon bones,21975,crushed superior dragon bones
Crystal 2h axe,28220,crystal 2h axe
Crystal 2h axe (inactive),28223,crystal 2h axe (inactive)
Crystal armour seed,23956,crystal armour seed
Crystal ball (flatpack),8624,crystal ball (flatpack)
Crystal grail,24000,crystal grail
Crystal key,989,crystal key
Crystal of power (flatpack),8628,crystal of power (flatpack)
Crystal tool seed,23953,crystal tool seed
Crystal weapon seed,4207,crystal weapon seed
Cup of hot water,4460,cup of hot water
Cup of tea,1978,cup of tea
Cup of water,4458,cup of water
Cured yak-hide,10820,cured yak-hide
Curry,2011,curry
Curry leaf,5970,curry leaf
Curry sapling,5499,curry sapling
Curry tree seed,5286,curry tree seed
Cyclops head,19915,cyclops head
Dagannoth bones,6729,dagannoth bones
Dagannoth hide,6155,dagannoth hide
Dagon'hai hat,24288,dagon'hai hat
Dagon'hai robe bottom,24294,dagon'hai robe bottom
Dagon'hai robe top,24291,dagon'hai robe top
Dagon'hai robes set,24333,dagon'hai robes set
Damaged monkey tail,19665,damaged monkey tail
Dareeyak teleport (tablet),12777,dareeyak teleport (tablet)
Dark bow,11235,dark bow
Dark bow tie,19970,dark bow tie
Dark cavalier,2641,dark cavalier
Dark crab,11936,dark crab
Dark fishing bait,11940,dark fishing bait
Dark infinity colour kit,12528,dark infinity colour kit
Dark kebbit fur,10115,dark kebbit fur
Dark trousers,19964,dark trousers
Dark tuxedo cuffs,19961,dark tuxedo cuffs
Dark tuxedo jacket,19958,dark tuxedo jacket
Dark tuxedo shoes,19967,dark tuxedo shoes
Dashing kebbit fur,10127,dashing kebbit fur
Death rune,560,death rune
Death talisman,1456,death talisman
Death tiara,5547,death tiara
Deerstalker,12540,deerstalker
Defence mix(1),11459,defence mix(1)
Defence mix(2),11457,defence mix(2)
Defence potion(1),137,defence potion(1)
Defence potion(2),135,defence potion(2)
Defence potion(3),133,defence potion(3)
Defence potion(4),2432,defence potion(4)
Demon feet,23294,demon feet
Desert boots,1837,desert boots
Desert camo legs,10063,desert camo legs
Desert camo legs (equipped),28854,desert camo legs (equipped)
Desert camo top,10061,desert camo top
Desert camo top (equipped),28851,desert camo top (equipped)
Desert devil fur,10123,desert devil fur
Desert goat horn,9735,desert goat horn
Desert legs,6390,desert legs
Desert robe,1835,desert robe
Desert robes,6386,desert robes
Desert shirt,1833,desert shirt
Desert top,6384,desert top
Desert top (overcoat),6388,desert top (overcoat)
Devout boots,22954,devout boots
Dexterous prayer scroll,21034,dexterous prayer scroll
Dharok's armour set,12877,dharok's armour set
Dharok's greataxe,4718,dharok's greataxe
Dharok's greataxe 0,4890,dharok's greataxe 0
Dharok's helm,4716,dharok's helm
Dharok's helm 0,4884,dharok's helm 0
Dharok's platebody,4720,dharok's platebody
Dharok's platebody 0,4896,dharok's platebody 0
Dharok's platelegs,4722,dharok's platelegs
Dharok's platelegs 0,4902,dharok's platelegs 0
Diamond,1601,diamond
Diamond amulet,1700,diamond amulet
Diamond amulet (u),1681,diamond amulet (u)
Diamond bolt tips,9192,diamond bolt tips
Diamond bolts,9340,diamond bolts
Diamond bolts (e),9243,diamond bolts (e)
Diamond bracelet,11092,diamond bracelet
Diamond dragon bolts,21969,diamond dragon bolts
Diamond dragon bolts (e),21946,diamond dragon bolts (e)
Diamond necklace,1662,diamond necklace
Diamond ring,1643,diamond ring
Digsite teleport,12403,digsite teleport
Dinh's bulwark,21015,dinh's bulwark
Disk of returning,981,disk of returning
Divine bastion potion(1),24644,divine bastion potion(1)
Divine bastion potion(2),24641,divine bastion potion(2)
Divine bastion potion(3),24638,divine bastion potion(3)
Divine bastion potion(4),24635,divine bastion potion(4)
Divine battlemage potion(1),24632,divine battlemage potion(1)
Divine battlemage potion(2),24629,divine battlemage potion(2)
Divine battlemage potion(3),24626,divine battlemage potion(3)
Divine battlemage potion(4),24623,divine battlemage potion(4)
Divine magic potion(1),23754,divine magic potion(1)
Divine magic potion(2),23751,divine magic potion(2)
Divine magic potion(3),23748,divine magic potion(3)
Divine magic potion(4),23745,divine magic potion(4)
Divine ranging potion(1),23742,divine ranging potion(1)
Divine ranging potion(2),23739,divine ranging potion(2)
Divine ranging potion(3),23736,divine ranging potion(3)
Divine ranging potion(4),23733,divine ranging potion(4)
Divine super attack potion(1),23706,divine super attack potion(1)
Divine super attack potion(2),23703,divine super attack potion(2)
Divine super attack potion(3),23700,divine super attack potion(3)
Divine super attack potion(4),23697,divine super attack potion(4)
Divine super combat potion(1),23694,divine super combat potion(1)
Divine super combat potion(2),23691,divine super combat potion(2)
Divine super combat potion(3),23688,divine super combat potion(3)
Divine super combat potion(4),23685,divine super combat potion(4)
Divine super defence potion(1),23730,divine super defence potion(1)
Divine super defence potion(2),23727,divine super defence potion(2)
Divine super defence potion(3),23724,divine super defence potion(3)
Divine super defence potion(4),23721,divine super defence potion(4)
Divine super strength potion(1),23718,divine super strength potion(1)
Divine super strength potion(2),23715,divine super strength potion(2)
Divine super strength potion(3),23712,divine super strength potion(3)
Divine super strength potion(4),23709,divine super strength potion(4)
Dodgy necklace,21143,dodgy necklace
Doogle leaves,1573,doogle leaves
Dorgeshuun crossbow,8880,dorgeshuun crossbow
Double eye patch,19727,double eye patch
Draconic visage,11286,draconic visage
Dragon 2h sword,7158,dragon 2h sword
Dragon armour set (lg),21882,dragon armour set (lg)
Dragon armour set (sk),21885,dragon armour set (sk)
Dragon arrow,11212,dragon arrow
Dragon arrow(p),11227,dragon arrow(p)
Dragon arrow(p+),11228,dragon arrow(p+)
Dragon arrow(p++),11229,dragon arrow(p++)
Dragon arrowtips,11237,dragon arrowtips
Dragon axe,6739,dragon axe
Dragon battleaxe,1377,dragon battleaxe
Dragon bitter,1911,dragon bitter
Dragon bitter (flatpack),8524,dragon bitter (flatpack)
Dragon bitter(4),5809,dragon bitter(4)
Dragon bitter(m),5745,dragon bitter(m)
Dragon bitter(m4),5889,dragon bitter(m4)
Dragon bolts,21905,dragon bolts
Dragon bolts (p),21924,dragon bolts (p)
Dragon bolts (p+),21926,dragon bolts (p+)
Dragon bolts (p++),21928,dragon bolts (p++)
Dragon bolts (unf),21930,dragon bolts (unf)
Dragon bones,536,dragon bones
Dragon boots,11840,dragon boots
Dragon boots ornament kit,22231,dragon boots ornament kit
Dragon cane,12373,dragon cane
Dragon chainbody,3140,dragon chainbody
Dragon chainbody ornament kit,12534,dragon chainbody ornament kit
Dragon claws,13652,dragon claws
Dragon crossbow,21902,dragon crossbow
Dragon crossbow (u),21921,dragon crossbow (u)
Dragon dagger,1215,dragon dagger
Dragon dagger(p),1231,dragon dagger(p)
Dragon dagger(p+),5680,dragon dagger(p+)
Dragon dagger(p++),5698,dragon dagger(p++)
Dragon dart,11230,dragon dart
Dragon dart tip,11232,dragon dart tip
Dragon dart(p),11231,dragon dart(p)
Dragon dart(p+),11233,dragon dart(p+)
Dragon dart(p++),11234,dragon dart(p++)
Dragon defender ornament kit,20143,dragon defender ornament kit
Dragon felling axe,28217,dragon felling axe
Dragon full helm,11335,dragon full helm
Dragon full helm ornament kit,12538,dragon full helm ornament kit
Dragon halberd,3204,dragon halberd
Dragon harpoon,21028,dragon harpoon
Dragon hasta,22731,dragon hasta
Dragon hasta(p),22734,dragon hasta(p)
Dragon hasta(p+),22737,dragon hasta(p+)
Dragon hasta(p++),22740,dragon hasta(p++)
Dragon hunter crossbow,21012,dragon hunter crossbow
Dragon hunter lance,22978,dragon hunter lance
Dragon impling jar,11256,dragon impling jar
Dragon javelin,19484,dragon javelin
Dragon javelin heads,19582,dragon javelin heads
Dragon javelin(p),19486,dragon javelin(p)
Dragon javelin(p+),19488,dragon javelin(p+)
Dragon javelin(p++),19490,dragon javelin(p++)
Dragon kiteshield,21895,dragon kiteshield
Dragon kiteshield ornament kit,22239,dragon kiteshield ornament kit
Dragon knife,22804,dragon knife
Dragon knife(p),22806,dragon knife(p)
Dragon knife(p+),22808,dragon knife(p+)
Dragon knife(p++),22810,dragon knife(p++)
Dragon legs/skirt ornament kit,12536,dragon legs/skirt ornament kit
Dragon limbs,21918,dragon limbs
Dragon longsword,1305,dragon longsword
Dragon mace,1434,dragon mace
Dragon med helm,1149,dragon med helm
Dragon metal lump,22103,dragon metal lump
Dragon metal shard,22097,dragon metal shard
Dragon metal slice,22100,dragon metal slice
Dragon necklace,1664,dragon necklace
Dragon pickaxe,11920,dragon pickaxe
Dragon pickaxe upgrade kit,12800,dragon pickaxe upgrade kit
Dragon platebody,21892,dragon platebody
Dragon platebody ornament kit,22236,dragon platebody ornament kit
Dragon platelegs,4087,dragon platelegs
Dragon plateskirt,4585,dragon plateskirt
Dragon scale dust,241,dragon scale dust
Dragon scimitar,4587,dragon scimitar
Dragon scimitar ornament kit,20002,dragon scimitar ornament kit
Dragon spear,1249,dragon spear
Dragon spear(p),1263,dragon spear(p)
Dragon spear(p+),5716,dragon spear(p+)
Dragon spear(p++),5730,dragon spear(p++)
Dragon sq shield,1187,dragon sq shield
Dragon sq shield ornament kit,12532,dragon sq shield ornament kit
Dragon sword,21009,dragon sword
Dragon thrownaxe,20849,dragon thrownaxe
Dragon warhammer,13576,dragon warhammer
Dragonbone necklace,22111,dragonbone necklace
Dragonfire shield,11284,dragonfire shield
Dragonfire ward,22003,dragonfire ward
Dragonfruit,22929,dragonfruit
Dragonfruit pie,22795,dragonfruit pie
Dragonfruit sapling,22866,dragonfruit sapling
Dragonfruit tree seed,22877,dragonfruit tree seed
Dragonstone,1615,dragonstone
Dragonstone amulet,1702,dragonstone amulet
Dragonstone amulet (u),1683,dragonstone amulet (u)
Dragonstone armour set,23667,dragonstone armour set
Dragonstone bolt tips,9193,dragonstone bolt tips
Dragonstone bolts,9341,dragonstone bolts
Dragonstone bolts (e),9244,dragonstone bolts (e)
Dragonstone boots,24043,dragonstone boots
Dragonstone bracelet,11115,dragonstone bracelet
Dragonstone dragon bolts,21971,dragonstone dragon bolts
Dragonstone dragon bolts (e),21948,dragonstone dragon bolts (e)
Dragonstone full helm,24034,dragonstone full helm
Dragonstone gauntlets,24046,dragonstone gauntlets
Dragonstone platebody,24037,dragonstone platebody
Dragonstone platelegs,24040,dragonstone platelegs
Dragonstone ring,1645,dragonstone ring
Drake bones,22783,drake bones
Drake's claw,22957,drake's claw
Drake's tooth,22960,drake's tooth
Draynor manor teleport (tablet),19615,draynor manor teleport (tablet)
Drift net,21652,drift net
Druid's robe,538,druid's robe
Druid's robe top,540,druid's robe top
Drunk dragon,2092,drunk dragon
Dual macuahuitl,28997,dual macuahuitl
Dual sai,23206,dual sai
Dust battlestaff,20736,dust battlestaff
Dust rune,4696,dust rune
Dwarf cannon set,12863,dwarf cannon set
Dwarf weed,267,dwarf weed
Dwarf weed potion (unf),109,dwarf weed potion (unf)
Dwarf weed seed,5303,dwarf weed seed
Dwarven helmet,11200,dwarven helmet
Dwarven stout,1913,dwarven stout
Dwarven stout(4),5777,dwarven stout(4)
Dwarven stout(m),5747,dwarven stout(m)
Dwarven stout(m4),5857,dwarven stout(m4)
Dwellberries,2126,dwellberries
Dwellberry seed,5103,dwellberry seed
Dynamite,13573,dynamite
Earmuffs,4166,earmuffs
Earth battlestaff,1399,earth battlestaff
Earth impling jar,11244,earth impling jar
Earth orb,575,earth orb
Earth rune,557,earth rune
Earth talisman,1440,earth talisman
Earth tiara,5535,earth tiara
Easter egg,1961,easter egg
Echo crystal,28942,echo crystal
Eclectic impling jar,11248,eclectic impling jar
Eclipse atlatl,29000,eclipse atlatl
Eclipse moon chestplate,29004,eclipse moon chestplate
Eclipse moon chestplate (broken),29049,eclipse moon chestplate (broken)
Eclipse moon helm,29010,eclipse moon helm
Eclipse moon helm (broken),29055,eclipse moon helm (broken)
Eclipse moon tassets,29007,eclipse moon tassets
Eclipse moon tassets (broken),29052,eclipse moon tassets (broken)
Eclipse wine,29415,eclipse wine
Edible seaweed,403,edible seaweed
Efaritay's aid,21140,efaritay's aid
Efh salt,22595,efh salt
Egg,1944,egg
Egg and tomato,7064,egg and tomato
Egg potato,7056,egg potato
Egg whisk,7435,egg whisk
Elder chaos hood,20595,elder chaos hood
Elder chaos robe,20520,elder chaos robe
Elder chaos top,20517,elder chaos top
Elder maul,21003,elder maul
Eldritch orb,24517,eldritch orb
Elemental helmet,9729,elemental helmet
Elemental shield,2890,elemental shield
Elemental sphere (flatpack),8626,elemental sphere (flatpack)
Elemental talisman,5516,elemental talisman
Elemental tiara,26804,elemental tiara
Elidinis' ward,25985,elidinis' ward
Elven boots,24003,elven boots
Elven dawn,23948,elven dawn
Elven gloves,24006,elven gloves
Elven legwear,24024,elven legwear
Elven signet,23943,elven signet
Elven skirt (white),24018,elven skirt (white)
Elven skirt (yellow),24012,elven skirt (yellow)
Elven top (white vest),24027,elven top (white vest)
Elven top (white),24015,elven top (white)
Elven top (yellow vest),24021,elven top (yellow vest)
Elven top (yellow),24009,elven top (yellow)
Elysian sigil,12819,elysian sigil
Elysian spirit shield,12817,elysian spirit shield
Emerald,1605,emerald
Emerald amulet,1696,emerald amulet
Emerald amulet (u),1677,emerald amulet (u)
Emerald bolt tips,9190,emerald bolt tips
Emerald bolts,9338,emerald bolts
Emerald bolts (e),9241,emerald bolts (e)
Emerald bracelet,11076,emerald bracelet
Emerald dragon bolts,21965,emerald dragon bolts
Emerald dragon bolts (e),21942,emerald dragon bolts (e)
Emerald necklace,1658,emerald necklace
Emerald ring,1639,emerald ring
Empty candle lantern,4527,empty candle lantern
Empty cup,1980,empty cup
Empty fishbowl,6667,empty fishbowl
Empty oil lamp,4525,empty oil lamp
Empty oil lantern,4535,empty oil lantern
Empty plant pot,5350,empty plant pot
Empty sack,5418,empty sack
Enchant diamond,8019,enchant diamond
Enchant dragonstone,8020,enchant dragonstone
Enchant emerald or jade,8017,enchant emerald or jade
Enchant onyx,8021,enchant onyx
Enchant ruby or topaz,8018,enchant ruby or topaz
